Common Name,Scientific Name
Eurasian Treecreeper,Certhia familiaris
Eurasian Wigeon,Mareca penelope
Eurasian Woodcock,Scolopax rusticola
Eurasian Wryneck,Jynx torquilla
European Bee-eater,Merops apiaster
European Goldfinch,Carduelis carduelis
European Greenfinch,Chloris chloris
European Herring Gull,Larus argentatus
European Honey-buzzard,Pernis apivorus
European Nightjar,Caprimulgus europaeus
European Pied Flycatcher,Ficedula hypoleuca
European Robin,Erithacus rubecula
European Roller,Coracias garrulus
European Serin,Serinus serinus
European Shag,Gulosus aristotelis
European Storm-petrel,Hydrobates pelagicus
European Turtle-dove,Streptopelia turtur
Ferruginous Duck,Aythya nyroca
Fieldfare,Turdus pilaris
Finsch's Wheatear,Oenanthe finschii
Fuerteventura Stonechat,Saxicola dacotiae
Gadwall,Mareca strepera
Garden Warbler,Sylvia borin
Garganey,Spatula querquedula
Glaucous Gull,Larus hyperboreus
Glossy Ibis,Plegadis falcinellus
Goldcrest,Regulus regulus
Golden Eagle,Aquila chrysaetos
Goosander,Mergus merganser
Graceful Prinia,Prinia gracilis
Gran Canaria Blue Chaffinch,Fringilla polatzeki
Great Black-backed Gull,Larus marinus
Great Bustard,Otis tarda
Great Cormorant,Phalacrocorax carbo
Great Crested Grebe,Podiceps cristatus
Great Grey Owl,Strix nebulosa
Great Grey Shrike,Lanius excubitor
Great Reed-warbler,Acrocephalus arundinaceus
Great Rosefinch,Carpodacus rubicilla
Great Skua,Catharacta skua
Great Snipe,Gallinago media
Great Spotted Cuckoo,Clamator glandarius
Great Spotted Woodpecker,Dendrocopos major
Great Tit,Parus major
Great White Egret,Ardea alba
Great White Pelican,Pelecanus onocrotalus
Greater Flamingo,Phoenicopterus roseus
Greater Sandplover,Charadrius leschenaultii
Greater Scaup,Aythya marila
Greater Short-toed Lark,Calandrella brachydactyla
Greater Spotted Eagle,Clanga clanga
Greater White-fronted Goose,Anser albifrons
Green Sandpiper,Tringa ochropus
Green Warbler,Phylloscopus nitidus
Greenish Warbler,Phylloscopus trochiloides
Grey Heron,Ardea cinerea
Grey Partridge,Perdix perdix
Grey Plover,Pluvialis squatarola
Grey Wagtail,Motacilla cinerea
Grey-faced Woodpecker,Picus canus
Grey-necked Bunting,Emberiza buchanani
Greylag Goose,Anser anser
Griffon Vulture,Gyps fulvus
Gyrfalcon,Falco rusticolus
Harlequin Duck,Histrionicus histrionicus
Hawfinch,Coccothraustes coccothraustes
Hazel Grouse,Bonasa bonasia
Hen Harrier,Circus cyaneus
Horned Grebe,Podiceps auritus
Horned Lark,Eremophila alpestris
House Sparrow,Passer domesticus
Iberian Azure-winged Magpie,Cyanopica cooki
Iberian Chiffchaff,Phylloscopus ibericus
Iberian Green Woodpecker,Picus sharpei
Iberian Grey Shrike,Lanius meridionalis
Iceland Gull,Larus glaucoides
Icterine Warbler,Hippolais icterina
Iraq Babbler,Argya altirostris
Isabelline Warbler,Iduna opaca
Isabelline Wheatear,Oenanthe isabellina
Island Canary,Serinus canaria
Italian Sparrow,Passer italiae
Ivory Gull,Pagophila eburnea
Jack Snipe,Lymnocryptes minimus
Kentish Plover,Charadrius alexandrinus
King Eider,Somateria spectabilis
Krueper's Nuthatch,Sitta krueperi
Kurdish Wheatear,Oenanthe xanthoprymna
Lanceolated Warbler,Locustella lanceolata
Lanner Falcon,Falco biarmicus
Lapland Longspur,Calcarius lapponicus
Laughing Dove,Spilopelia senegalensis
Leach's Storm-petrel,Hydrobates leucorhous
Lesser Black-backed Gull,Larus fuscus
Lesser Grey Shrike,Lanius minor
Lesser Kestrel,Falco naumanni
Lesser Short-toed Lark,Alaudala rufescens
Lesser Spotted Eagle,Clanga pomarina
Lesser Spotted Woodpecker,Dryobates minor
Lesser White-fronted Goose,Anser erythropus
Lesser Whitethroat,Curruca curruca
Levant Sparrowhawk,Accipiter brevipes
Little Auk,Alle alle
Little Bunting,Emberiza pusilla
Little Bustard,Tetrax tetrax
Little Crake,Zapornia parva
Little Egret,Egretta garzetta
Little Grebe,Tachybaptus ruficollis
Little Gull,Hydrocoloeus minutus
Little Owl,Athene noctua
Little Ringed Plover,Charadrius dubius
Little Stint,Calidris minuta
Little Swift,Apus affinis
Little Tern,Sternula albifrons
Long-legged Buzzard,Buteo rufinus
Long-tailed Duck,Clangula hyemalis
Long-tailed Jaeger,Stercorarius longicaudus
Long-tailed Tit,Aegithalos caudatus
Madeira Firecrest,Regulus madeirensis
Madeira Laurel-pigeon,Columba trocaz
Mallard,Anas platyrhynchos
Manx Shearwater,Puffinus puffinus
Marbled Teal,Marmaronetta angustirostris
Marmora's Warbler,Curruca sarda
Marsh Sandpiper,Tringa stagnatilis
Marsh Tit,Poecile palustris
Marsh Warbler,Acrocephalus palustris
Masked Shrike,Lanius nubicus
Meadow Pipit,Anthus pratensis
Mediterranean Gull,Larus melanocephalus
Melodious Warbler,Hippolais polyglotta
Menetries's Warbler,Curruca mystacea
Merlin,Falco columbarius
Mew Gull,Larus canus
Middle Spotted Woodpecker,Leiopicus medius
Mistle Thrush,Turdus viscivorus
Moltoni's Warbler,Curruca subalpina
Mongolian Finch,Bucanetes mongolicus
Montagu's Harrier,Circus pygargus
Monteiro's Storm-petrel,Hydrobates monteiroi
Mountain Chiffchaff,Phylloscopus sindianus
Moustached Warbler,Acrocephalus melanopogon
Mute Swan,Cygnus olor
Northern Bald Ibis,Geronticus eremita
Northern Fulmar,Fulmarus glacialis
Northern Gannet,Morus bassanus
Northern Goshawk,Accipiter gentilis
Northern Hawk-owl,Surnia ulula
Northern House Martin,Delichon urbicum
Northern Lapwing,Vanellus vanellus
Northern Long-eared Owl,Asio otus
Northern Nutcracker,Nucifraga caryocatactes
Northern Pintail,Anas acuta
Northern Shoveler,Spatula clypeata
Northern Wheatear,Oenanthe oenanthe
Northern Wren,Troglodytes troglodytes
Olivaceous Warbler,Iduna pallida
Olive-backed Pipit,Anthus hodgsoni
Olive-tree Warbler,Hippolais olivetorum
Orange-flanked Bush-robin,Tarsiger cyanurus
Oriental Cuckoo,Cuculus optatus
Ortolan Bunting,Emberiza hortulana
Osprey,Pandion haliaetus
Paddyfield Warbler,Acrocephalus agricola
Pale Sparrow,Carpospiza brachydactyla
Pallas's Bunting,Emberiza pallasi
Pallas's Gull,Larus ichthyaetus
Pallas's Sandgrouse,Syrrhaptes paradoxus
Pallid Harrier,Circus macrourus
Pallid Scops-owl,Otus brucei
Pallid Swift,Apus pallidus
Parrot Crossbill,Loxia pytyopsittacus
Pechora Pipit,Anthus gustavi
Peregrine Falcon,Falco peregrinus
Pied Avocet,Recurvirostra avosetta
Pied Kingfisher,Ceryle rudis
Pied Wheatear,Oenanthe pleschanka
Pin-tailed Sandgrouse,Pterocles alchata
Pine Bunting,Emberiza leucocephalos
Pine Grosbeak,Pinicola enucleator
Pink-footed Goose,Anser brachyrhynchus
Pintail Snipe,Gallinago stenura
Plain Swift,Apus unicolor
Pomarine Jaeger,Stercorarius pomarinus
Purple Heron,Ardea purpurea
Purple Sandpiper,Calidris maritima
Purple Swamphen,Porphyrio porphyrio
Pygmy Cormorant,Microcarbo pygmaeus
Radde's Accentor,Prunella ocularis
Razorbill,Alca torda
Red Crossbill,Loxia curvirostra
Red Kite,Milvus milvus
Red Knot,Calidris canutus
Red Phalarope,Phalaropus fulicarius
Red-backed Shrike,Lanius collurio
Red-billed Chough,Pyrrhocorax pyrrhocorax
Red-breasted Flycatcher,Ficedula parva
Red-breasted Goose,Branta ruficollis
Red-breasted Merganser,Mergus serrator
Red-crested Pochard,Netta rufina
Red-footed Falcon,Falco vespertinus
Red-fronted Serin,Serinus pusillus
Red-headed Bunting,Emberiza bruniceps
Red-knobbed Coot,Fulica cristata
Red-legged Partridge,Alectoris rufa
Red-necked Grebe,Podiceps grisegena
Red-necked Nightjar,Caprimulgus ruficollis
Red-necked Phalarope,Phalaropus lobatus
Red-rumped Swallow,Cecropis daurica
Red-tailed Wheatear,Oenanthe chrysopygia
Red-throated Loon,Gavia stellata
Red-throated Pipit,Anthus cervinus
Red-wattled Lapwing,Vanellus indicus
Redpoll,Acanthis flammea
Redwing,Turdus iliacus
Reed Bunting,Emberiza schoeniclus
Ring Ouzel,Turdus torquatus
River Warbler,Locustella fluviatilis
Rock Bunting,Emberiza cia
Rock Dove,Columba livia
Rock Partridge,Alectoris graeca
Rock Pipit,Anthus petrosus
Rock Ptarmigan,Lagopus muta
Rock Sparrow,Petronia petronia
Rook,Corvus frugilegus
Roseate Tern,Sterna dougallii
Ross's Gull,Rhodostethia rosea
Rosy Starling,Pastor roseus
Rough-legged Buzzard,Buteo lagopus
Ruddy Shelduck,Tadorna ferruginea
Ruddy Turnstone,Arenaria interpres
Ruff,Calidris pugnax
Rufous-tailed Rock-thrush,Monticola saxatilis
Rufous-tailed Scrub-robin,Cercotrichas galactotes
Rustic Bunting,Emberiza rustica
Rüppell's Warbler,Curruca ruppeli
Sabine's Gull,Xema sabini
Saker Falcon,Falco cherrug
Sanderling,Calidris alba
Sandwich Tern,Thalasseus sandvicensis
Sardinian Warbler,Curruca melanocephala
Savi's Warbler,Locustella luscinioides
Scopoli's Shearwater,Calonectris diomedea
Scottish Crossbill,Loxia scotica
Sedge Warbler,Acrocephalus schoenobaenus
See-see Partridge,Ammoperdix griseogularis
Semi-collared Flycatcher,Ficedula semitorquata
Shikra,Accipiter badius
Short-eared Owl,Asio flammeus
Short-toed Snake-eagle,Circaetus gallicus
Short-toed Treecreeper,Certhia brachydactyla
Siberian Accentor,Prunella montanella
Siberian Jay,Perisoreus infaustus
Siberian Rubythroat,Calliope calliope
Siberian Tit,Poecile cinctus
Slender-billed Curlew,Numenius tenuirostris
Slender-billed Gull,Larus genei
Smew,Mergellus albellus
Snow Bunting,Plectrophenax nivalis
Snow Goose,Anser caerulescens
Snowy Owl,Bubo scandiacus
Sociable Lapwing,Vanellus gregarius
Sombre Tit,Poecile lugubris
Song Thrush,Turdus philomelos
Sooty Tern,Onychoprion fuscatus
Spanish Imperial Eagle,Aquila adalberti
Spanish Sparrow,Passer hispaniolensis
Spectacled Warbler,Curruca conspicillata
Spotless Starling,Sturnus unicolor
Spotted Crake,Porzana porzana
Spotted Flycatcher,Muscicapa striata
Spotted Redshank,Tringa erythropus
Spur-winged Lapwing,Vanellus spinosus
Squacco Heron,Ardeola ralloides
Steller's Eider,Polysticta stelleri
Steppe Eagle,Aquila nipalensis
Stock Dove,Columba oenas
Subalpine Warbler,Curruca cantillans
Swinhoe's Snipe,Gallinago megala
Sykes's Warbler,Iduna rama
Syrian Woodpecker,Dendrocopos syriacus
Tawny Owl,Strix aluco
Tawny Pipit,Anthus campestris
Temminck's Stint,Calidris temminckii
Tenerife Blue Chaffinch,Fringilla teydea
Terek Sandpiper,Xenus cinereus
Thekla's Lark,Galerida theklae
Thick-billed Murre,Uria lomvia
Three-toed Woodpecker,Picoides tridactylus
Thrush Nightingale,Luscinia luscinia
Tree Pipit,Anthus trivialis
Trumpeter Finch,Bucanetes githagineus
Tufted Duck,Aythya fuligula
Tundra Swan,Cygnus columbianus
Twite,Linaria flavirostris
Two-barred Crossbill,Loxia leucoptera
Upcher's Warbler,Hippolais languida
Ural Owl,Strix uralensis
Velvet Scoter,Melanitta fusca
Wallcreeper,Tichodroma muraria
Water Pipit,Anthus spinoletta
Western Bonelli's Warbler,Phylloscopus bonelli
Western Capercaillie,Tetrao urogallus
Western Marsh-harrier,Circus aeruginosus
Western Orphean Warbler,Curruca hortensis
Western Rock Nuthatch,Sitta neumayer
Western Water Rail,Rallus aquaticus
Western Yellow Wagtail,Motacilla flava
Whimbrel,Numenius phaeopus
Whinchat,Saxicola rubetra
Whiskered Tern,Chlidonias hybrida
White Stork,Ciconia ciconia
White Wagtail,Motacilla alba
White's Thrush,Zoothera aurea
White-backed Woodpecker,Dendrocopos leucotos
White-breasted Kingfisher,Halcyon smyrnensis
White-faced Storm-petrel,Pelagodroma marina
White-headed Duck,Oxyura leucocephala
White-rumped Swift,Apus caffer
White-spectacled Bulbul,Pycnonotus xanthopygos
White-tailed Lapwing,Vanellus leucurus
White-tailed Laurel-pigeon,Columba junoniae
White-tailed Sea-eagle,Haliaeetus albicilla
White-throated Dipper,Cinclus cinclus
White-throated Robin,Irania gutturalis
White-winged Lark,Alauda leucoptera
White-winged Redstart,Phoenicurus erythrogastrus
White-winged Snowfinch,Montifringilla nivalis
White-winged Tern,Chlidonias leucopterus
Whooper Swan,Cygnus cygnus
Willow Grouse,Lagopus lagopus
Willow Tit,Poecile montanus
Willow Warbler,Phylloscopus trochilus
Wood Sandpiper,Tringa glareola
Wood Warbler,Phylloscopus sibilatrix
Woodchat Shrike,Lanius senator
Woodlark,Lullula arborea
Yelkouan Shearwater,Puffinus yelkouan
Yellow-billed Chough,Pyrrhocorax graculus
Yellow-billed Loon,Gavia adamsii
Yellow-breasted Bunting,Emberiza aureola
Yellow-browed Warbler,Phylloscopus inornatus
Yellow-legged Gull,Larus michahellis
Yellowhammer,Emberiza citrinella
Zino's Petrel,Pterodroma madeira
Zitting Cisticola,Cisticola juncidis
